user_id,group
23557,2
94883,3
101486,3
101961,5
106907,4
118043,5
120851,2
125845,3
133058,1
149058,5
152583,3
153982,3
160754,3
164522,2
167852,1
171470,4
174997,4
175032,3
181157,5
182191,1
187212,3
189676,2
190866,5
195192,3
204943,5
204997,4
205044,5
206011,5
216796,1
217114,1
217136,3
220725,4
224996,3
226367,3
228195,1
228872,3
229009,4
229108,1
229330,5
232647,3
249521,3
252835,5
258451,1
264470,3
276512,3
281952,3
283325,3
290123,5
297546,5
298253,3
299476,3
306165,1
306819,4
312488,3
313724,4
316527,5
317688,5
322867,3
324191,3
328590,4
330764,4
330893,3
331039,1
334787,3
337227,1
338086,3
340166,1
343928,0
347778,5
348817,5
348863,1
349132,3
350648,4
353271,3
353694,3
354050,5
354260,3
354311,3
354950,3
356046,3
357737,4
359072,4
359080,5
359653,3
361459,3
361759,5
363535,4
365825,4
371201,3
372970,3
373489,0
374331,2
374340,0
374341,2
375160,1
375729,3
375751,3
376159,3
377069,1
377411,3
378565,2
379543,3
380434,3
380436,3
380757,3
380874,3
380949,4
381259,3
381465,4
382181,3
382384,3
382533,1
385689,5
386255,1
386469,1
386914,4
387282,2
387783,3
388328,5
388767,3
388947,3
389434,4
389662,3
389759,5
390811,3
392453,3
395202,2
395981,3
396552,5
399137,5
399218,3
399799,5
400275,3
400582,5
400899,5
401245,3
402332,3
402978,5
403881,5
404879,5
405305,3
406210,0
407118,4
407250,5
407275,5
407434,2
407642,3
408551,3
409073,3
411179,4
411701,3
413128,5
413340,3
413418,3
413658,4
414128,5
415282,3
415381,3
415581,3
416319,3
416580,4
417679,5
418329,2
418488,5
418692,4
420648,3
420669,4
421247,5
421515,3
421666,4
421700,3
421870,0
422066,5
422668,1
423042,4
423413,2
424553,4
425632,3
425653,1
425953,5
425966,3
426478,1
427426,3
427506,4
428056,5
428552,3
428858,4
429345,1
429375,4
430722,4
431144,3
431337,3
431602,4
431746,3
431899,4
431912,3
432333,3
432637,3
432941,5
433080,5
433339,2
433905,2
434238,3
434623,4
435231,3
435596,3
435669,3
435837,1
435882,4
436320,3
436894,3
437069,5
437162,4
437251,3
437539,5
437549,3
438189,5
438406,5
438551,4
438596,3
438839,3
438937,3
438985,4
438995,1
439052,5
439120,3
439363,5
440212,3
440655,3
441200,3
441205,3
441448,3
441457,3
441982,5
442484,3
442718,5
442812,1
442819,3
442833,5
443305,3
443453,5
443598,3
443652,5
444387,3
444885,3
445351,5
445515,3
446124,5
446138,4
446473,3
446933,5
447053,3
447591,3
447737,3
447951,3
448025,3
448154,3
448295,3
448467,2
448564,5
449033,5
449326,3
449619,5
449804,3
449980,1
450164,5
450193,2
450305,3
450615,5
451291,5
451674,1
452034,4
452532,4
452594,5
452612,4
453143,5
453168,5
454264,3
454430,3
454616,3
454661,3
454920,5
454934,4
454955,3
456226,5
456318,3
456663,3
456671,3
457468,5
457599,5
457967,1
458479,4
458688,4
458725,1
458762,3
458814,5
458855,3
458919,3
459229,5
459486,3
459645,3
460072,3
460181,3
460553,4
460625,4
461559,5
461744,3
461791,3
462127,3
462456,5
462894,3
463652,3
463698,5
463783,5
463867,3
463910,5
464080,3
464160,2
464239,3
464542,3
464597,2
464614,4
464673,5
464782,3
464855,4
465138,5
465343,3
465531,3
465568,1
465731,4
466205,5
466342,2
466723,4
467007,0
467092,1
467339,3
467809,3
467892,4
468106,5
468370,5
468409,4
468666,3
468801,3
468808,5
468832,4
469237,1
469418,1
469440,4
469464,5
469699,3
469767,5
469824,3
471077,5
471161,3
471186,3
471500,3
471565,2
471649,1
471687,5
471717,3
471935,3
471946,1
471973,1
472394,3
472446,3
472614,3
472713,5
472785,3
472966,3
473332,5
473343,3
473402,4
473467,5
473568,3
473712,5
473847,3
474007,1
474120,4
474239,1
474261,2
474278,1
474384,5
474464,3
474546,5
474951,5
474980,3
475060,3
475130,5
475467,3
475531,5
476081,5
476104,5
476124,3
476173,2
476270,3
476393,3
476436,5
476535,5
476665,5
476693,5
476714,5
476742,3
476916,1
476956,3
477285,3
477316,5
477597,3
477730,5
477805,1
478003,3
478146,4
478188,3
478228,3
478291,3
478533,3
478585,5
478760,4
478801,3
478834,1
479071,5
479078,3
479101,3
479254,3
479524,1
479785,1
480186,1
480313,4
480331,3
480690,5
480796,3
480877,5
480895,4
480975,1
481050,3
481245,3
481292,5
481358,0
481554,5
481622,5
481772,2
481781,1
482264,5
482335,1
482424,5
482548,4
482602,5
482621,3
482630,3
482744,5
482811,1
483224,3
483237,5
483345,5
483480,5
483483,3
483525,3
483603,5
483928,5
483982,3
484249,2
484342,1
484418,3
484987,5
485149,3
485260,3
485393,1
485505,3
485518,1
485536,1
485544,5
485591,5
485658,4
485780,2
485785,3
485891,4
485894,2
486046,1
486113,3
486191,1
486261,3
486268,1
486270,3
486366,3
486447,1
486454,3
486605,3
486671,5
486751,4
486823,3
487002,3
487036,3
487040,3
487101,5
487276,5
487352,3
487453,4
487637,3
487680,4
487715,4
487858,3
487954,5
488009,3
488099,1
488246,1
488314,4
488410,3
488430,1
488462,5
488480,4
488511,2
488529,3
488539,1
488672,5
488827,5
488865,3
488870,4
488918,5
488974,3
489096,3
489131,1
489575,5
489635,5
489661,1
489730,5
489785,3
489786,1
489802,3
489844,3
489852,3
489949,4
489953,5
489992,3
490040,5
490107,5
490133,5
490201,3
490348,3
490358,3
490517,3
490576,3
490608,3
490629,5
490671,5
491003,3
491124,5
491141,5
491175,5
491182,5
491241,3
491266,3
491559,3
491597,3
491617,5
491706,3
491772,5
491925,5
491930,3
491995,4
492209,5
492211,3
492287,3
492371,3
492497,1
492614,1
492999,3
493177,5
493409,5
493476,1
493718,5
494294,5
494374,3
494382,5
494441,1
494463,3
494484,2
494590,5
494630,1
494680,5
494704,5
494985,5
495029,4
495042,5
495080,3
495272,3
495273,5
495386,3
495482,5
495592,1
495603,5
495727,5
496016,5
496074,1
496273,5
496286,5
496332,5
496382,5
496408,4
496566,5
496899,4
496972,3
497042,5
497077,4
497108,3
497225,5
497475,0
497615,3
497678,3
497680,3
497829,3
497915,5
498154,3
498199,3
498287,5
498298,2
498357,5
498363,3
498500,4
498574,5
498607,3
498665,4
498857,3
498931,2
499028,3
499038,5
499252,3
499313,3
499366,5
499375,5
499379,3
499461,3
499475,3
499633,5
499634,3
499659,4
499669,3
499751,5
499760,1
499780,1
499810,3
499847,5
499969,1
499979,5
499990,4
500078,3
500196,3
500243,1
500257,3
500288,1
500299,1
500493,2
500532,1
500646,2
500745,5
500773,5
500791,1
500828,3
500972,3
500974,5
501087,3
501125,3
501184,5
501322,5
501344,1
501436,4
501512,3
501708,1
501735,3
501764,3
501780,1
501794,5
501817,5
501830,3
501897,1
501947,4
502063,3
502145,5
502210,4
502212,3
502353,5
502412,3
502435,3
502444,5
502609,5
502626,3
502799,5
502819,1
502826,3
502847,5
502850,1
502875,3
502995,1
503042,3
503049,1
503058,3
503126,1
503161,1
503277,3
503342,4
503418,5
503483,1
503621,2
503760,5
503773,1
503918,1
503928,3
503945,3
503973,5
504081,3
504133,2
504240,5
504299,3
504320,3
504371,5
504435,4
504473,3
504579,1
504610,3
504665,3
504669,3
504786,3
504859,3
504892,2
504916,1
504936,5
504945,5
505062,3
505066,1
505172,4
505230,3
505285,5
505289,3
505358,5
505414,3
505498,3
505617,4
505667,3
505680,5
505713,5
505747,3
505771,5
505854,5
505916,2
505933,4
505941,3
506013,5
506130,5
506186,4
506234,5
506250,3
506347,1
506427,5
506611,3
506652,3
506675,5
506704,3
506777,3
506807,5
506828,3
506837,2
506858,3
506990,1
507036,3
507133,3
507207,2
507273,5
507376,3
507395,4
507431,5
507435,5
507505,2
507513,1
507531,1
507557,3
507573,3
507617,3
507728,3
507732,4
507753,3
507759,3
507773,3
507805,4
508050,2
508096,3
508111,1
508144,3
508153,3
508240,3
508360,3
508367,5
508497,3
508512,1
508546,3
508611,1
508625,4
508693,3
508713,3
508731,5
508829,4
508848,3
508849,5
508856,1
508857,5
508860,3
508866,5
508877,5
508891,3
508892,3
508901,3
508912,4
508917,3
508923,4
508938,3
508940,5
508944,3
508946,5
508964,1
508973,3
509001,1
509024,3
509036,3
509052,3
509061,5
509069,3
509098,3
509115,5
509119,5
509157,2
509160,3
509162,2
509202,3
509221,5
509242,3
509272,1
509278,4
509282,5
509302,3
509316,5
509324,3
509341,3
509346,3
509353,3
509354,2
509359,5
509402,1
509411,5
509413,3
509414,3
509419,5
509421,4
509435,5
509445,5
509453,3
509454,2
509459,2
509467,2
509498,2
509515,3
509516,3
509530,5
509552,3
509598,3
509603,2
509626,3
509635,3
509638,1
509645,4
509681,5
509712,3
509713,3
509717,5
509749,5
509763,5
509765,5
509781,3
509822,3
509826,3
509841,0
509855,1
509876,1
509892,1
509903,5
