user_id,num_sessions,avg_session_duration,std_session_duration,avg_clicks,bookings,canceled_trips,num_trips,destinations,avg_checked_bags,avg_seats,avg_nights,avg_rooms,std_nights,num_flights,num_hotels,total_money_spent_per_flight,avg_money_spent_per_flight,avg_money_spent_per_seat,total_money_spent_per_hotel,avg_money_spent_per_hotel,avg_time_after_booking,avg_distance_km,avg_price_per_km,summer,spring,fall,winter,gender,married,has_children,home_country,age,group
23557,8,76.625,68.78317381453112,10.25,2,0.0,2.0,0.0,,,10.0,1.5,11.31370849898476,0.0,2.0,0.0,,,3670.5,1835.25,12.0,,,1.0,1.0,0.0,0.0,F,True,False,usa,67.26027397260275,2
94883,8,67.75,70.24192887035899,9.125,2,0.0,2.0,2.0,0.5,1.5,1.0,1.5,0.0,4.0,2.0,864.0899999999999,432.045,276.2525,230.0,115.0,6.5,1453.6661275572988,0.290666724363876,0.0,2.0,0.0,0.0,F,True,False,usa,53.98082191780822,3
101486,8,122.25,55.94321100136153,16.375,2,0.0,2.0,1.0,0.0,1.0,4.0,1.5,1.4142135623730951,2.0,2.0,189.91,189.91,189.91,2199.0,1099.5,7.5,965.3405679141885,0.196728498016341,2.0,0.0,0.0,0.0,F,True,True,usa,53.25205479452055,3
101961,8,117.75,59.79667931535042,15.75,5,0.0,5.0,5.0,0.4,1.0,3.8,1.0,2.16794833886788,10.0,5.0,1237.693,247.5386,247.5386,2429.0,485.8,5.6,1321.6841826795614,0.1791075717125734,1.0,3.0,0.0,1.0,F,True,False,usa,45.47671232876712,5
106907,8,241.5,274.6504271667116,30.0,1,1.0,,,,,,,,,,,,,,,,,,,,,,F,True,True,usa,47.3041095890411,4
118043,8,153.125,109.58680512334894,20.5,5,0.0,5.0,3.0,1.0,2.0,5.5,1.25,3.3166247903554,6.0,4.0,2339.29,779.7633333333333,445.8472222222222,5616.45,1123.29,8.0,2455.024508886416,0.3624028044567691,2.0,2.0,0.0,1.0,F,False,True,usa,53.84657534246576,5
120851,8,51.75,40.615795660590685,6.875,1,0.0,1.0,1.0,0.0,1.0,11.0,1.0,,2.0,1.0,384.68,384.68,384.68,2002.0,2002.0,7.0,2249.833872451225,0.170981513217634,0.0,1.0,0.0,0.0,F,True,True,usa,53.45205479452055,2
125845,9,131.77777777777777,124.388280977126,17.666666666666668,3,0.0,3.0,3.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.1547005383792517,6.0,3.0,1646.763,548.9209999999999,448.2838333333332,689.0,229.66666666666663,8.333333333333334,2700.781458471575,0.2143716371304896,1.0,1.0,0.0,1.0,F,True,False,usa,42.26301369863014,3
133058,8,68.125,45.20884079153419,9.125,1,0.0,1.0,1.0,0.0,1.0,,,,2.0,0.0,423.51,423.51,423.51,0.0,0.0,6.0,2708.294381612006,0.1563751720918618,0.0,1.0,0.0,0.0,F,False,False,usa,20.898630136986306,1
149058,8,131.75,85.24544395031158,17.75,5,0.0,5.0,5.0,0.4,1.2,5.2,1.2,3.7013511046643495,10.0,5.0,1919.1325,383.8265,334.4105,5579.0,1115.8,5.8,1904.7557523104629,0.2095121313583302,0.0,2.0,0.0,3.0,F,False,True,usa,53.12602739726027,5
152583,8,139.0,73.61288707052009,18.625,1,0.0,1.0,1.0,2.0,1.0,2.0,1.0,,2.0,1.0,367.83,367.83,367.83,426.0,426.0,8.0,2178.789038455096,0.1688231368470696,1.0,0.0,0.0,0.0,F,False,False,usa,39.61095890410959,3
